id,ActualTime,WatchTimeStamp,Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Esense TimeStamp,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense
1,2025-06-19 02:03:02.946,2025-06-19 02:03:02.901,1.86508309841156,-4.333505153656006,8.980650901794434,-0.1466076523065567,0.24434609711170197,0.1417207419872284,2025-06-19 02:03:02.900,722,2915,-6840,46,-115,58
2,2025-06-19 02:03:03.048,2025-06-19 02:03:02.986,1.3838485479354858,-4.039018154144287,9.083600997924805,-0.2076941877603531,-0.1563815027475357,-0.0354301854968071,2025-06-19 02:03:02.985,720,2915,-6835,49,-125,53
3,2025-06-19 02:03:03.151,2025-06-19 02:03:03.102,1.6879122257232666,-4.568136692047119,8.959102630615234,0.2370157092809677,0.05742133408784866,0.11972958594560623,2025-06-19 02:03:03.101,729,2914,-6836,53,-119,54
4,2025-06-19 02:03:03.267,2025-06-19 02:03:03.187,-0.3495534360408783,-3.3734302520751953,9.466673851013184,0.9615018963813782,0.26022860407829285,0.32620203495025635,2025-06-19 02:03:03.162,723,2907,-6845,50,-115,57
5,2025-06-19 02:03:03.319,2025-06-19 02:03:03.312,0.2513911724090576,-3.361459255218506,9.17697525024414,-0.9040805697441101,-0.11850785464048386,0.46670106053352356,2025-06-19 02:03:03.273,729,2907,-6835,66,-116,59
6,2025-06-19 02:03:03.467,2025-06-19 02:03:03.395,1.2114660739898682,-5.080495834350586,9.136273384094238,-0.23945917189121246,-0.4813618063926697,0.7122688889503479,2025-06-19 02:03:03.394,724,2921,-6848,58,-125,57
7,2025-06-19 02:03:03.519,2025-06-19 02:03:03.510,-0.6344634294509888,-3.4787750244140625,8.04930591583252,0.5852088928222656,0.4789183437824249,1.892460584640503,2025-06-19 02:03:03.472,725,2913,-6838,34,-112,57
8,2025-06-19 02:03:03.668,2025-06-19 02:03:03.594,-1.7860745191574097,-1.7118542194366455,8.9064302444458,0.2993239760398865,0.2919935882091522,1.197295904159546,2025-06-19 02:03:03.520,720,2920,-6832,45,-117,59
9,2025-06-19 02:03:03.719,2025-06-19 02:03:03.710,-1.0534487962722778,-2.9520506858825684,8.892065048217773,-0.03298672288656235,-0.856433093547821,0.8894197940826416,2025-06-19 02:03:03.671,711,2913,-6828,70,-116,56
10,2025-06-19 02:03:03.861,2025-06-19 02:03:03.794,-0.26815059781074524,-2.4133553504943848,9.911994934082031,-0.08185594528913498,-2.285857677459717,0.8747590184211731,2025-06-19 02:03:03.714,726,2912,-6834,66,-114,60
11,2025-06-19 02:03:03.920,2025-06-19 02:03:03.918,0.9983820915222168,-1.9728221893310547,10.678139686584473,0.43249258399009705,-0.26022860407829285,0.7757988572120667,2025-06-19 02:03:03.800,723,2922,-6836,62,-123,58
12,2025-06-19 02:03:04.058,2025-06-19 02:03:03.998,0.2801215946674347,-0.507570743560791,9.78989028930664,-0.05375614017248154,-0.8246681094169617,0.4337143301963806,2025-06-19 02:03:03.972,727,2909,-6839,60,-120,56
13,2025-06-19 02:03:04.119,2025-06-19 02:03:04.101,1.1851298809051514,-1.525106430053711,8.702922821044922,0.02321287989616394,0.16982053220272064,0.05375614017248154,2025-06-19 02:03:04.062,719,2920,-6825,41,-113,57
14,2025-06-19 02:03:04.244,2025-06-19 02:03:04.195,0.35913026332855225,-2.145204782485962,9.93354320526123,-0.3885102868080139,0.37629300355911255,-0.304210901260376,2025-06-19 02:03:04.168,719,2922,-6850,75,-125,57
15,2025-06-19 02:03:04.319,2025-06-19 02:03:04.282,-1.5705963373184204,-3.0837318897247314,8.377311706542969,-0.3396410644054413,2.302962064743042,-1.224173903465271,2025-06-19 02:03:04.252,723,2910,-6831,59,-121,55
16,2025-06-19 02:03:04.458,2025-06-19 02:03:04.389,-1.522712230682373,-3.5051112174987793,8.9064302444458,1.341460108757019,0.7867944240570068,0.013439035043120384,_,_,_,_,_,_,_
17,2025-06-19 02:03:04.535,2025-06-19 02:03:04.496,-1.2066776752471924,-2.1547815799713135,9.205705642700195,0.5436700582504272,0.251676470041275,0.11484266817569733,2025-06-19 02:03:04.462,722,2910,-6833,60,-107,60
18,2025-06-19 02:03:04.619,2025-06-19 02:03:04.582,-1.1204863786697388,-1.7357962131500244,9.38048267364502,0.9175195693969727,-0.7464773058891296,0.9187413454055786,2025-06-19 02:03:04.556,716,2908,-6836,56,-115,59
19,2025-06-19 02:03:04.719,2025-06-19 02:03:04.709,-0.07900865375995636,-0.9624691009521484,10.65898609161377,-0.012217304669320583,-1.263269305229187,1.235169529914856,2025-06-19 02:03:04.616,720,2915,-6830,-263,-113,54
20,2025-06-19 02:03:04.819,2025-06-19 02:03:04.784,3.6798880100250244,-3.0597896575927734,7.627926826477051,-3.1703906059265137,-3.349985122680664,0.9419541954994202,2025-06-19 02:03:04.716,718,2919,-6841,28,-113,56
21,2025-06-19 02:03:04.958,2025-06-19 02:03:04.890,1.113303780555725,-5.623979568481445,7.343016624450684,0.988379955291748,-0.769690215587616,1.3781119585037231,2025-06-19 02:03:04.788,720,2909,-6847,71,-123,57
22,2025-06-19 02:03:05.019,2025-06-19 02:03:05.003,1.113303780555725,-5.623979568481445,7.343016624450684,0.988379955291748,-0.769690215587616,1.3781119585037231,2025-06-19 02:03:04.966,719,2921,-6844,64,-118,57
23,2025-06-19 02:03:05.119,2025-06-19 02:03:05.082,-0.8762778043746948,-3.5673606395721436,6.696582317352295,1.9559905529022217,2.8490755558013916,1.3561208248138428,2025-06-19 02:03:05.057,959,2641,-7179,-164,-487,-182
